D,,,,,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,tA,tB,tS,,,,,,,
D0,d,Los Angeles,34.0201613,-118.6919091,0,96,0,,,,,,,
D1,d,Los Angeles,34.0201613,-118.6919091,0,96,0,,,,,,,
,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,tA,tB,tS,cg,SMIN,SMAX,instances,,,
S0,s,Los Angeles,34.0201613,-118.6919091,0,96,0,0,0,1000,2,,,
S1,s,Irvine,33.686502,-117.8434283,0,96,0,0,0,1000,2,,,
S2,s,San Diego,32.8244745,-117.2490605,0,96,0,0,0,1000,2,,,
S3,s,Fresno,36.7855129,-119.8646008,0,96,0,0,0,1000,2,,,
S4,s,Bakersfield,35.3208963,-119.1587688,0,96,0,0,0,1000,2,,,
S5,s,San Jose,37.2967792,-121.9574947,0,96,0,0,0,1000,2,,,
S6,s,San Francisco,37.7576948,-122.4726193,0,96,0,0,0,1000,2,,,
,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,tA,tB,tS,q,tQ,cq,,,,
M1,m,Irvine,33.686502,-117.8434283,0,96,1,5000,0,1,,,,
M2,m,San Diego,32.8244745,-117.2490605,0,96,1,10000,0,1,,,,
M3,m,Fresno,36.7855129,-119.8646008,0,96,1,2000,0,1,,,,
M4,m,Bakersfield,35.3208963,-119.1587688,0,96,1,1000,0,1,,,,
M5,m,San Jose,37.2967792,-121.9574947,0,96,1,3000,0,1,,,,
M6,m,San Francisco,37.7576948,-122.4726193,0,96,1,10000,0,1,,,,
,,,,,,,,,,,,,,
Parameters,,,,,,,,,,,,,,
parameter,description,value,,,,,,,,,,,,
t_T,optimization time horizon,96,,,,,,,,,,,,
t_S,time step size,1,,,,,,,,,,,,
,,,,,,,,,,,,,,
W,,,,,,,,,,,,,,
vehicle_type_id,N,r,v,cc,co,cm,cy,cz,QMAX,EMIN,EMAX,PMAX,,
EV,1,1.242745473,96.56,40,0.372823642,0.139808866,0.003,0.001,18143.695,0,1000,1000,,
,,,,,,,,,,,,,,
T,,,,,,,,,,,,,,
t,G,G,G,G,G,G,G,ce,ce,ce,ce,ce,ce,ce
,S0,S1,S2,S3,S4,S5,S6,S0,S1,S2,S3,S4,S5,S6
0,10,10,10,10,10,10,10,0.1,0.1,0.1,0.1,0.1,0.1,0.1
96,10,10,10,10,10,10,10,0.1,0.1,0.1,0.1,0.1,0.1,0.1
