D,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,q,tA,tB,tS,tQ,cq
D0,d,d,40,50,0,0,1236,0,0,0
D1,d,d,40,50,0,0,1236,0,0,0
,,,,,,,,,,
S,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,q,tA,tB,tS,tQ,cq
S0,s,s,40,50,0,0,1236,0,0,0
S15,s,s,39,26,0,0,1236,0,0,0
,,,,,,,,,,
M,,,,,,,,,,
node_id,node_type,node_description,d_x,d_y,q,tA,tB,tS,tQ,cq
C20,m,m,30,50,10,0,1136,90,0,0
C98,m,m,58,75,20,0,1115,90,0,0
C5,m,m,48,40,10,67,139,90,0,0
C87,m,m,40,15,40,989,1063,90,0,0
C99,m,m,25,50,10,0,1131,90,0,0
,,,,,,,,,,
Parameters,,,,,,,,,,
parameter,description,value,,,,,,,,
t_T,optimization time horizon,1236,,,,,,,,
t_S,time step size,1,,,,,,,,
,,,,,,,,,,
W,,,,,,,,,,
vehicle_type_id,vehicle_type,NW,rW,v,cc,c_F,QMAX,EMAX,rE,rC
z1,C,5,1,1,500,1,200,77.75,1,3.47
